,app_id,app_name,neg,pos,steam_score,wilson
235,40800,Super Meat Boy,"1,057","20,353",95.06%,94.72%
236,8800,Sid Meier's Civilization IV: Beyond the Sword,40,"1,020",96.23%,94.68%
237,57300,Amnesia: The Dark Descent,789,"15,208",95.07%,94.67%
238,344480,Quell,1,123,99.19%,94.67%
239,245550,Free to Play,546,"10,687",95.14%,94.66%
240,6910,Deus Ex: Game of the Year Edition,224,"4,629",95.38%,94.66%
241,544180,Orbox C,0,89,100%,94.66%
242,235980,Tetrobot and Co.,8,309,97.48%,94.64%
243,452440,Flowers -Le volume sur printemps-,5,234,97.91%,94.64%
244,500,Left 4 Dead,602,"11,664",95.09%,94.64%
245,562220,Zup! 2,144,"3,066",95.51%,94.62%
246,298030,Total Annihilation,36,924,96.25%,94.62%
247,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,320,"6,403",95.24%,94.62%
248,394970,DEADBOLT,58,"1,376",95.96%,94.62%
249,464450,DoDonPachi Resurrection,6,258,97.73%,94.61%
250,588040,WILL: A Wonderful World,36,920,96.23%,94.60%
251,212480,Sonic & All-Stars Racing Transformed,448,"8,745",95.13%,94.60%
252,586880,Mini Ghost,2,151,98.69%,94.60%
253,380,Half-Life 2: Episode One,248,"5,000",95.27%,94.57%
254,303590,Hidden in Plain Sight,3,178,98.34%,94.57%
255,481510,Night in the Woods,122,"2,610",95.53%,94.56%
256,4580,"Warhammer 40,000: Dawn of War - Dark Crusade",93,"2,046",95.65%,94.55%
257,569860,Thimbleweed Park,38,953,96.17%,94.55%
258,588650,Dead Cells,260,"5,156",95.20%,94.51%
259,421660,Harmonia,5,228,97.85%,94.51%
260,335670,LISA,250,"4,975",95.22%,94.51%
261,32460,Monkey Island 2: Special Edition,35,879,96.17%,94.48%
262,32360,The Secret of Monkey Island: Special Edition,71,"1,592",95.73%,94.47%
263,292800,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,1,118,99.16%,94.46%
264,296490,GemCraft - Chasing Shadows,71,"1,587",95.72%,94.46%
265,426690,Narcissu 10th Anniversary Anthology Project,2,147,98.66%,94.46%
266,405820,Turok: Dinosaur Hunter,49,"1,155",95.93%,94.45%
267,457210,SEUM: Speedrunners from Hell,15,455,96.81%,94.44%
268,552080,IronWolf VR,3,173,98.30%,94.42%
269,469790,Linelight,2,146,98.65%,94.42%
270,259680,Tales of Maj'Eyal,95,"2,030",95.53%,94.41%
271,589770,Green Elephant 2D,1,117,99.15%,94.41%
272,4560,Company of Heroes,222,"4,363",95.16%,94.40%
273,422970,Devil Daggers,155,"3,142",95.30%,94.40%
274,411830,SENRAN KAGURA SHINOVI VERSUS,116,"2,412",95.41%,94.39%
275,501300,What Remains of Edith Finch,54,"1,240",95.83%,94.39%
276,220440,DmC Devil May Cry,524,"9,734",94.89%,94.38%
277,520440,GUILTY GEAR Xrd -REVELATOR-,36,882,96.08%,94.37%
278,370670,The Tale of a Common Man,0,84,100%,94.36%
279,615610,Orbt XL,6,246,97.62%,94.36%
280,247020,"Cook, Serve, Delicious!",183,"3,627",95.20%,94.36%
281,406150,Refunct,268,"5,161",95.06%,94.36%
282,449830,Muv-Luv,14,424,96.80%,94.33%
283,462990,Tomoyo After ~It's a Wonderful Life~ English Edition,1,115,99.14%,94.32%
284,72850,The Elder Scrolls V: Skyrim,"12,612","213,762",94.43%,94.32%
285,491420,The 9th Day,3,170,98.27%,94.32%
286,207350,Ys Origin,68,"1,490",95.64%,94.32%
287,7200,TrackMania United,29,732,96.19%,94.31%
288,520010,Climbey,11,357,97.01%,94.30%
289,351700,UnReal World,12,378,96.92%,94.29%
290,251990,Long Live The Queen,277,"5,237",94.98%,94.28%
291,94200,Jamestown,86,"1,808",95.46%,94.26%
292,220780,Thomas Was Alone,378,"6,984",94.87%,94.26%
293,332200,Axiom Verge,105,"2,153",95.35%,94.25%
294,532110,Rusty Lake: Roots,26,664,96.23%,94.24%
295,279800,Grim Legends 2: Song of the Dark Swan,22,582,96.36%,94.23%
296,396650,ACE Academy,19,518,96.46%,94.20%
297,261180,Lethal League,200,"3,824",95.03%,94.20%
298,214730,Space Rangers HD: A War Apart,122,"2,435",95.23%,94.19%
299,2600,Vampire: The Masquerade - Bloodlines,248,"4,628",94.91%,94.16%
300,603960,Monolith,0,81,100%,94.16%
301,40700,Machinarium,159,"3,072",95.08%,94.15%
302,449960,Book of Demons,26,652,96.17%,94.14%
303,50130,Mafia II,"1,394","23,588",94.42%,94.09%
304,349680,Supercharged Robot VULKAISER,4,187,97.91%,94.08%
305,207170,Legend of Grimrock,216,"4,016",94.90%,94.08%
306,202170,Sleeping Dogs™,828,"14,236",94.50%,94.07%
307,13250,Unreal Gold,20,524,96.32%,94.05%
308,377670,G-senjou no Maou - The Devil on G-String,4,186,97.89%,94.05%
309,7670,BioShock,"1,037","17,575",94.43%,94.04%
310,440,Team Fortress 2,"26,139","418,526",94.12%,94.04%
311,270370,Lambda Wars Beta,103,"2,037",95.19%,94.04%
312,370020,Templar Battleforce,17,463,96.46%,94.04%
313,47780,Dead Space 2,353,"6,281",94.68%,94.03%
314,272040,KAMI,40,900,95.74%,94.01%
315,450220,Overload Playable Teaser,18,480,96.39%,94.00%
316,359390,Amnesia™: Memories,57,"1,207",95.49%,93.99%
317,266210,One Way Heroics,171,"3,181",94.90%,93.98%
318,48000,LIMBO,"1,417","23,429",94.30%,93.96%
319,3720,Evil Genius,70,"1,431",95.34%,93.96%
320,98800,Dungeons of Dredmor,192,"3,523",94.83%,93.96%
321,253750,Ikaruga,52,"1,110",95.52%,93.96%
322,26800,Braid,321,"5,654",94.63%,93.94%
323,245170,Skullgirls,639,"10,817",94.42%,93.92%
324,300570,Infinifactory,54,"1,136",95.46%,93.91%
325,22120,Penumbra: Black Plague,49,"1,046",95.53%,93.90%
326,472870,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,0,77,100%,93.88%
327,461560,Mandagon,194,"3,496",94.74%,93.86%
328,453000,TheWaveVR,2,132,98.51%,93.86%
329,402620,Kindred Spirits on the Roof,14,390,96.53%,93.86%
330,490840,Gnomes & Goblins (preview),14,390,96.53%,93.86%
331,561080,The Price of Freedom,4,180,97.83%,93.86%
332,252110,Lovers in a Dangerous Spacetime,49,"1,038",95.49%,93.86%
333,248820,Risk of Rain,"1,219","19,772",94.19%,93.82%
334,450540,"Hot Dogs, Horseshoes & Hand Grenades",39,852,95.62%,93.81%
335,233450,Prison Architect,"1,548","24,882",94.14%,93.81%
336,284850,Grim Legends: The Forsaken Bride,30,684,95.80%,93.77%
337,286160,Tabletop Simulator,455,"7,636",94.38%,93.77%
338,502800,SENRAN KAGURA ESTIVAL VERSUS,54,"1,108",95.35%,93.76%
339,233130,Shadow Warrior,748,"12,190",94.22%,93.74%
340,6010,Indiana Jones and the Fate of Atlantis,18,459,96.23%,93.74%
341,230290,Universe Sandbox ²,214,"3,752",94.60%,93.74%
342,217200,Worms Armageddon,138,"2,513",94.79%,93.74%
343,38410,Fallout 2,176,"3,128",94.67%,93.73%
344,241600,Rogue Legacy,774,"12,573",94.20%,93.73%
345,405830,Turok 2: Seeds of Evil,24,570,95.96%,93.73%
346,246620,Plague Inc: Evolved,915,"14,730",94.15%,93.72%
347,398000,Little Big Adventure 2,2,129,98.47%,93.72%
348,412670,Bullet Heaven 2,4,175,97.77%,93.69%
349,4760,Rome: Total War,359,"6,018",94.37%,93.69%
350,286260,fault - milestone one,67,"1,316",95.16%,93.69%
351,6860,Hitman: Blood Money,261,"4,472",94.49%,93.69%
352,385800,NEKOPARA Vol. 0,481,"7,920",94.27%,93.68%
353,322110,20XX,60,"1,196",95.22%,93.68%
354,399600,I and Me,8,260,97.01%,93.68%
355,251490,Gravity Ghost,7,239,97.15%,93.68%
356,587650,Half-Life 2: DownFall,12,339,96.58%,93.67%
357,253840,Shantae: Half-Genie Hero,56,"1,119",95.23%,93.64%
358,228360,Full Throttle Remastered,15,395,96.34%,93.64%
359,308600,Geneshift,0,74,100%,93.64%
360,333260,Marvin's Mittens,1,102,99.03%,93.64%
361,257850,Hyper Light Drifter,435,"7,137",94.26%,93.63%
362,250500,Super Amazing Wagon Adventure,83,"1,568",94.97%,93.63%
363,17460,Mass Effect,498,"8,122",94.22%,93.63%
364,357600,Unium,7,236,97.12%,93.60%
365,269770,Secrets of Grindea,134,"2,392",94.70%,93.60%
366,489660,Fabric,0,73,100%,93.56%
367,406870,Eventide: Slavic Fable,9,274,96.82%,93.55%
368,8980,Borderlands,"1,121","17,421",93.95%,93.55%
369,311190,Super Panda Adventures,22,516,95.91%,93.53%
370,568770,Cinderella Phenomenon,21,498,95.95%,93.53%
371,362890,Black Mesa,475,"7,636",94.14%,93.53%
372,233610,Distance,166,"2,865",94.52%,93.52%
373,530120,VR The Diner Duo,5,191,97.45%,93.50%
374,9450,"Warhammer 40,000: Dawn of War - Soulstorm",197,"3,341",94.43%,93.50%
375,6000,STAR WARS™ Republic Commando,282,"4,649",94.28%,93.49%
376,301300,Chicken Invaders 4,5,190,97.44%,93.47%
377,50300,Spec Ops: The Line,"1,474","22,402",93.83%,93.47%
378,21090,F.E.A.R.,295,"4,828",94.24%,93.47%
379,636480,Ravenfield,90,"1,642",94.80%,93.47%
380,437160,The Lion's Song,44,888,95.28%,93.46%
381,2100,Dark Messiah of Might & Magic Single Player,190,"3,210",94.41%,93.46%
382,335000,Tormentum - Dark Sorrow,66,"1,250",94.98%,93.46%
383,421120,Samorost 3,47,937,95.22%,93.46%
384,221380,Age of Empires II: HD Edition,"2,362","35,303",93.73%,93.44%
385,238210,System Shock 2,214,"3,563",94.33%,93.43%
386,6020,STAR WARS™ Jedi Knight: Jedi Academy™,258,"4,233",94.26%,93.43%
387,359140,Kick Ass Commandos,11,307,96.54%,93.43%
388,522040,Princess Remedy In A Heap of Trouble,2,123,98.40%,93.43%
389,250110,Assault Android Cactus,55,"1,064",95.08%,93.42%
390,211740,Thief 2,28,610,95.61%,93.41%
391,42910,Magicka,"1,213","18,373",93.81%,93.41%
392,435150,Divinity: Original Sin 2,103,"1,821",94.65%,93.38%
393,485040,Nurse Love Addiction,8,247,96.86%,93.37%
394,382490,Relic Hunters Zero,267,"4,321",94.18%,93.36%
395,365300,Transmissions: Element 120,345,"5,482",94.08%,93.35%
396,207140,SpeedRunners,"1,117","16,777",93.76%,93.34%
397,533300,Zup!,247,"4,003",94.19%,93.33%
398,448370,IS Defense,38,768,95.29%,93.31%
399,417290,Ghost of a Tale,20,463,95.86%,93.31%
